 year doy hour Kp
 2021 79 6 5
 2021 79 9 4
 2021 79 12 3
 2021 79 15 3
 2021 79 18 3
 2021 79 21 3
 2021 80 0 4
 2021 80 3 3
 2021 80 6 1
 2021 80 9 2
 2021 80 12 4
 2021 80 15 3
 2021 80 18 4
 2021 80 21 3
 2021 81 0 2
 2021 81 3 2
 2021 81 6 2
 2021 81 9 1
 2021 81 12 2
 2021 81 15 2
 2021 81 18 1
 2021 81 21 1
 2021 82 0 2
 2021 82 3 3
 2021 82 6 2
 2021 82 9 1
 2021 82 12 2
 2021 82 15 2
 2021 82 18 2
 2021 82 21 3
 2021 83 0 3
 2021 83 3 3
 2021 83 6 3
 2021 83 9 2
 2021 83 12 2
 2021 83 15 1
 2021 83 18 2
 2021 83 21 3
 2021 84 0 5
 2021 84 3 4
 2021 84 6 4
 2021 84 9 2
 2021 84 12 3
 2021 84 15 2
 2021 84 18 1
 2021 84 21 2
 2021 85 0 3
 2021 85 3 3
 2021 85 6 3
 2021 85 9 3
 2021 85 12 2
 2021 85 15 2
 2021 85 18 1
 2021 85 21 2
 2021 86 0 0
 2021 86 3 1
 2021 86 6 0
 2021 86 9 1
 2021 86 12 1
 2021 86 15 2
 2021 86 18 3
 2021 86 21 4
 2021 87 0 3
 2021 87 3 1
 2021 87 6 0
 2021 87 9 1
 2021 87 12 1
 2021 87 15 1
 2021 87 18 1
 2021 87 21 1
 2021 88 0 1
 2021 88 3 2
 2021 88 6 1
 2021 88 9 1
 2021 88 12 1
 2021 88 15 1
 2021 88 18 1
 2021 88 21 0
 2021 89 0 0
 2021 89 3 1
 2021 89 6 1
 2021 89 9 1
 2021 89 12 1
 2021 89 15 1
 2021 89 18 2
 2021 89 21 2
 2021 90 0 1
 2021 90 3 2
 2021 90 6 2
 2021 90 9 1
 2021 90 12 2
 2021 90 15 3
 2021 90 18 1
 2021 90 21 2
 2021 91 0 3
 2021 91 3 3
 2021 91 6 2
 2021 91 9 2
 2021 91 12 1
 2021 91 15 2
 2021 91 18 1
 2021 91 21 2
 2021 92 0 1
 2021 92 3 1
 2021 92 6 1
 2021 92 9 0
 2021 92 12 1
 2021 92 15 2
 2021 92 18 2
 2021 92 21 2
 2021 93 0 1
 2021 93 3 1
 2021 93 6 0
 2021 93 9 1
 2021 93 12 1
 2021 93 15 1
 2021 93 18 0
 2021 93 21 1
 2021 94 0 1
 2021 94 3 0
 2021 94 6 1
 2021 94 9 0
 2021 94 12 1
 2021 94 15 1
 2021 94 18 0
 2021 94 21 0
 2021 95 0 1
 2021 95 3 1
 2021 95 6 1
 2021 95 9 1
 2021 95 12 3
 2021 95 15 2
 2021 95 18 1
 2021 95 21 1
 2021 96 0 0
 2021 96 3 1
 2021 96 6 0
 2021 96 9 0
 2021 96 12 1
 2021 96 15 0
 2021 96 18 2
 2021 96 21 2
 2021 97 0 1
 2021 97 3 2
 2021 97 6 3
 2021 97 9 4
 2021 97 12 4
 2021 97 15 4
 2021 97 18 2
 2021 97 21 2
 2021 98 0 0
 2021 98 3 1
 2021 98 6 0
 2021 98 9 1
 2021 98 12 2
 2021 98 15 1
 2021 98 18 2
 2021 98 21 1
 2021 99 0 0
 2021 99 3 2
 2021 99 6 0
 2021 99 9 0
 2021 99 12 1
 2021 99 15 1
 2021 99 18 0
 2021 99 21 1
 2021 100 0 0
 2021 100 3 0
 2021 100 6 0
 2021 100 9 1
 2021 100 12 2
 2021 100 15 2
 2021 100 18 1
 2021 100 21 2
 2021 101 0 2
 2021 101 3 2
 2021 101 6 2
 2021 101 9 1
 2021 101 12 1
 2021 101 15 1
 2021 101 18 2
 2021 101 21 1
 2021 102 0 1
 2021 102 3 0
 2021 102 6 1
 2021 102 9 2
 2021 102 12 2
 2021 102 15 2
 2021 102 18 1
 2021 102 21 0
 2021 103 0 0
 2021 103 3 1
 2021 103 6 1
 2021 103 9 2
 2021 103 12 2
 2021 103 15 2
 2021 103 18 2
 2021 103 21 2
 2021 104 0 1
 2021 104 3 1
 2021 104 6 1
 2021 104 9 2
 2021 104 12 2
 2021 104 15 2
 2021 104 18 2
 2021 104 21 3
 2021 105 0 3
 2021 105 3 3
 2021 105 6 4
 2021 105 9 1
 2021 105 12 3
 2021 105 15 1
 2021 105 18 1
 2021 105 21 2
 2021 106 0 2
 2021 106 3 3
 2021 106 6 3
 2021 106 9 2
 2021 106 12 3
 2021 106 15 3
 2021 106 18 4
 2021 106 21 3
 2021 107 0 3
 2021 107 3 4
 2021 107 6 5
 2021 107 9 3
 2021 107 12 3
 2021 107 15 2
 2021 107 18 2
 2021 107 21 4
 2021 108 0 3
 2021 108 3 3
 2021 108 6 3
 2021 108 9 3
 2021 108 12 2
 2021 108 15 2
 2021 108 18 3
 2021 108 21 3
 2021 109 0 3
 2021 109 3 3
 2021 109 6 3
 2021 109 9 3
 2021 109 12 3
 2021 109 15 3
 2021 109 18 3
 2021 109 21 3
 2021 110 0 3
 2021 110 3 3
 2021 110 6 2
 2021 110 9 2
 2021 110 12 2
 2021 110 15 1
 2021 110 18 2
 2021 110 21 3
 2021 111 0 2
 2021 111 3 3
 2021 111 6 2
 2021 111 9 2
 2021 111 12 2
 2021 111 15 1
 2021 111 18 1
 2021 111 21 1
 2021 112 0 1
 2021 112 3 1
 2021 112 6 2
 2021 112 9 1
 2021 112 12 2
 2021 112 15 0
 2021 112 18 1
 2021 112 21 2
 2021 113 0 3
 2021 113 3 2
 2021 113 6 3
 2021 113 9 3
 2021 113 12 2
 2021 113 15 3
 2021 113 18 3
 2021 113 21 4
 2021 114 0 3
 2021 114 3 3
 2021 114 6 3
 2021 114 9 2
 2021 114 12 2
 2021 114 15 0
 2021 114 18 2
 2021 114 21 3
 2021 115 0 5
 2021 115 3 3
 2021 115 6 3
 2021 115 9 3
 2021 115 12 3
 2021 115 15 1
 2021 115 18 2
 2021 115 21 2
 2021 116 0 4
 2021 116 3 4
 2021 116 6 3
 2021 116 9 1
 2021 116 12 2
 2021 116 15 1
 2021 116 18 2
 2021 116 21 2
 2021 117 0 3
 2021 117 3 3
 2021 117 6 2
 2021 117 9 2
 2021 117 12 2
 2021 117 15 1
 2021 117 18 1
 2021 117 21 1
 2021 118 0 2
 2021 118 3 0
 2021 118 6 0
 2021 118 9 2
 2021 118 12 2
 2021 118 15 1
 2021 118 18 1
 2021 118 21 1
 2021 119 0 2
 2021 119 3 2
 2021 119 6 1
 2021 119 9 1
 2021 119 12 2
 2021 119 15 1
 2021 119 18 2
 2021 119 21 1
 2021 120 0 1
 2021 120 3 1
 2021 120 6 1
 2021 120 9 1
 2021 120 12 1
 2021 120 15 2
 2021 120 18 3
 2021 120 21 2
 2021 121 0 1
 2021 121 3 1
 2021 121 6 2
 2021 121 9 3
 2021 121 12 1
 2021 121 15 1
 2021 121 18 1
 2021 121 21 2
 2021 122 0 3
 2021 122 3 3
 2021 122 6 3
 2021 122 9 2
 2021 122 12 2
 2021 122 15 2
 2021 122 18 3
 2021 122 21 3
 2021 123 0 2
 2021 123 3 2
 2021 123 6 2
 2021 123 9 2
 2021 123 12 2
 2021 123 15 2
 2021 123 18 1
 2021 123 21 1
 2021 124 0 2
 2021 124 3 1
 2021 124 6 1
 2021 124 9 1
 2021 124 12 2
 2021 124 15 1
 2021 124 18 2
 2021 124 21 1
 2021 125 0 0
 2021 125 3 0
 2021 125 6 0
 2021 125 9 1
 2021 125 12 2
 2021 125 15 1
 2021 125 18 2
 2021 125 21 1
 2021 126 0 1
 2021 126 3 1
 2021 126 6 0
 2021 126 9 1
 2021 126 12 2
 2021 126 15 0
 2021 126 18 1
 2021 126 21 0
 2021 127 0 0
 2021 127 3 0
 2021 127 6 0
 2021 127 9 1
 2021 127 12 2
 2021 127 15 1
 2021 127 18 2
 2021 127 21 1
 2021 128 0 1
 2021 128 3 0
 2021 128 6 1
 2021 128 9 2
 2021 128 12 2
 2021 128 15 1
 2021 128 18 1
 2021 128 21 1
 2021 129 0 0
 2021 129 3 0
 2021 129 6 0
 2021 129 9 1
 2021 129 12 4
 2021 129 15 2
 2021 129 18 1
 2021 129 21 2
 2021 130 0 2
 2021 130 3 2
 2021 130 6 2
 2021 130 9 2
 2021 130 12 3
 2021 130 15 1
 2021 130 18 2
 2021 130 21 2
 2021 131 0 2
 2021 131 3 1
 2021 131 6 1
 2021 131 9 1
 2021 131 12 2
 2021 131 15 1
 2021 131 18 1
 2021 131 21 0
 2021 132 0 1
 2021 132 3 0
 2021 132 6 4
 2021 132 9 4
 2021 132 12 6
 2021 132 15 5
 2021 132 18 2
 2021 132 21 2
 2021 133 0 2
 2021 133 3 2
 2021 133 6 2
 2021 133 9 2
 2021 133 12 2
 2021 133 15 2
 2021 133 18 2
 2021 133 21 2
 2021 134 0 0
 2021 134 3 1
 2021 134 6 1
 2021 134 9 1
 2021 134 12 1
 2021 134 15 2
 2021 134 18 1
 2021 134 21 2
 2021 135 0 3
 2021 135 3 2
 2021 135 6 3
 2021 135 9 2
 2021 135 12 2
 2021 135 15 2
 2021 135 18 1
 2021 135 21 1
 2021 136 0 1
 2021 136 3 0
 2021 136 6 1
 2021 136 9 2
 2021 136 12 2
 2021 136 15 1
 2021 136 18 2
 2021 136 21 0
 2021 137 0 1
 2021 137 3 1
 2021 137 6 2
 2021 137 9 1
 2021 137 12 2
 2021 137 15 1
 2021 137 18 2
 2021 137 21 3
 2021 138 0 3
 2021 138 3 3
 2021 138 6 4
 2021 138 9 2
 2021 138 12 2
 2021 138 15 1
 2021 138 18 1
 2021 138 21 0
 2021 139 0 2
 2021 139 3 1
 2021 139 6 2
 2021 139 9 1
 2021 139 12 2
 2021 139 15 1
 2021 139 18 1
 2021 139 21 2
 2021 140 0 3
 2021 140 3 2
 2021 140 6 3
 2021 140 9 3
 2021 140 12 4
 2021 140 15 3
 2021 140 18 3
 2021 140 21 4
 2021 141 0 2
 2021 141 3 2
 2021 141 6 3
 2021 141 9 2
 2021 141 12 2
 2021 141 15 2
 2021 141 18 2
 2021 141 21 1
 2021 142 0 1
 2021 142 3 1
 2021 142 6 1
 2021 142 9 1
 2021 142 12 3
 2021 142 15 1
 2021 142 18 2
 2021 142 21 1
 2021 143 0 0
 2021 143 3 2
 2021 143 6 1
 2021 143 9 1
 2021 143 12 1
 2021 143 15 1
 2021 143 18 2
 2021 143 21 2
 2021 144 0 2
 2021 144 3 0
 2021 144 6 0
 2021 144 9 1
 2021 144 12 0
 2021 144 15 1
 2021 144 18 0
 2021 144 21 0
 2021 145 0 0
 2021 145 3 1
 2021 145 6 0
 2021 145 9 1
 2021 145 12 2
 2021 145 15 1
 2021 145 18 1
 2021 145 21 2
 2021 146 0 0
 2021 146 3 -1
 2021 146 6 -1
 2021 146 9 -1
 2021 146 12 3
 2021 146 15 3
 2021 146 18 3
 2021 146 21 3
 2021 147 0 3
 2021 147 3 3
 2021 147 6 4
 2021 147 9 4
 2021 147 12 2
 2021 147 15 3
 2021 147 18 2
 2021 147 21 2
 2021 148 0 1
 2021 148 3 1
 2021 148 6 0
 2021 148 9 1
 2021 148 12 2
 2021 148 15 1
 2021 148 18 1
 2021 148 21 1
 2021 149 0 0
 2021 149 3 1
 2021 149 6 1
 2021 149 9 2
 2021 149 12 2
 2021 149 15 2
 2021 149 18 3
 2021 149 21 3
 2021 150 0 1
 2021 150 3 1
 2021 150 6 2
 2021 150 9 2
 2021 150 12 2
 2021 150 15 2
 2021 150 18 2
 2021 150 21 3
 2021 151 0 1
 2021 151 3 1
 2021 151 6 1
 2021 151 9 1
 2021 151 12 2
 2021 151 15 1
 2021 151 18 1
 2021 151 21 1
 2021 152 0 2
 2021 152 3 0
 2021 152 6 0
 2021 152 9 1
 2021 152 12 2
 2021 152 15 2
 2021 152 18 1
 2021 152 21 0
 2021 153 0 0
 2021 153 3 1
 2021 153 6 1
 2021 153 9 1
 2021 153 12 3
 2021 153 15 2
 2021 153 18 1
 2021 153 21 2
 2021 154 0 3
 2021 154 3 2
 2021 154 6 3
 2021 154 9 2
 2021 154 12 2
 2021 154 15 2
 2021 154 18 1
 2021 154 21 1
 2021 155 0 2
 2021 155 3 1
 2021 155 6 1
 2021 155 9 1
 2021 155 12 2
 2021 155 15 1
 2021 155 18 1
 2021 155 21 1
 2021 156 0 1
 2021 156 3 1
 2021 156 6 1
 2021 156 9 1
 2021 156 12 2
 2021 156 15 1
 2021 156 18 1
 2021 156 21 2
 2021 157 0 2
 2021 157 3 1
 2021 157 6 1
 2021 157 9 1
 2021 157 12 2
 2021 157 15 2
 2021 157 18 2
 2021 157 21 2
 2021 158 0 2
 2021 158 3 2
 2021 158 6 3
 2021 158 9 3
 2021 158 12 3
 2021 158 15 3
 2021 158 18 3
 2021 158 21 4
 2021 159 0 2
 2021 159 3 3
 2021 159 6 2
 2021 159 9 1
 2021 159 12 2
 2021 159 15 2
 2021 159 18 2
 2021 159 21 1
 2021 160 0 1
 2021 160 3 2
 2021 160 6 1
 2021 160 9 1
 2021 160 12 2
 2021 160 15 1
 2021 160 18 1
 2021 160 21 0
 2021 161 0 1
 2021 161 3 0
 2021 161 6 0
 2021 161 9 2
 2021 161 12 3
 2021 161 15 1
 2021 161 18 1
 2021 161 21 2
 2021 162 0 3
 2021 162 3 3
 2021 162 6 2
 2021 162 9 2
 2021 162 12 3
 2021 162 15 3
 2021 162 18 2
 2021 162 21 2
 2021 163 0 2
 2021 163 3 3
 2021 163 6 2
 2021 163 9 2
 2021 163 12 2
 2021 163 15 2
 2021 163 18 1
 2021 163 21 2
 2021 164 0 3
 2021 164 3 3
 2021 164 6 1
 2021 164 9 2
 2021 164 12 2
 2021 164 15 1
 2021 164 18 1
 2021 164 21 0
 2021 165 0 0
 2021 165 3 0
 2021 165 6 1
 2021 165 9 2
 2021 165 12 3
 2021 165 15 3
 2021 165 18 2
 2021 165 21 2
 2021 166 0 2
 2021 166 3 2
 2021 166 6 3
 2021 166 9 2
 2021 166 12 4
 2021 166 15 3
 2021 166 18 4
 2021 166 21 3
 2021 167 0 4
 2021 167 3 4
 2021 167 6 2
 2021 167 9 3
 2021 167 12 2
 2021 167 15 3
 2021 167 18 2
 2021 167 21 3
 2021 168 0 2
 2021 168 3 3
 2021 168 6 3
 2021 168 9 2
 2021 168 12 2
 2021 168 15 2
 2021 168 18 1
 2021 168 21 2
 2021 169 0 2
 2021 169 3 2
 2021 169 6 2
 2021 169 9 2
 2021 169 12 3
 2021 169 15 1
 2021 169 18 2
 2021 169 21 2
 2021 170 0 2
 2021 170 3 1
 2021 170 6 1
 2021 170 9 1
 2021 170 12 2
 2021 170 15 1
 2021 170 18 2
 2021 170 21 1
 2021 171 0 0
 2021 171 3 1
 2021 171 6 0
 2021 171 9 1
 2021 171 12 2
 2021 171 15 1
 2021 171 18 1
 2021 171 21 3
 2021 172 0 1
 2021 172 3 0
 2021 172 6 0
 2021 172 9 1
 2021 172 12 1
 2021 172 15 2
 2021 172 18 2
 2021 172 21 1
 2021 173 0 2
 2021 173 3 3
 2021 173 6 1
 2021 173 9 2
 2021 173 12 3
 2021 173 15 1
 2021 173 18 2
 2021 173 21 2
 2021 174 0 2
 2021 174 3 1
 2021 174 6 1
 2021 174 9 1
 2021 174 12 3
 2021 174 15 2
 2021 174 18 2
 2021 174 21 0
 2021 175 0 0
 2021 175 3 0
 2021 175 6 1
 2021 175 9 2
 2021 175 12 2
