 year doy sunspot
 2022 64 95
 2022 65 82
 2022 66 84
 2022 67 93
 2022 68 89
 2022 69 90
 2022 70 81
 2022 71 93
 2022 72 64
 2022 73 82
 2022 74 71
 2022 75 41
 2022 76 53
 2022 77 27
 2022 78 29
 2022 79 39
 2022 80 30
 2022 81 29
 2022 82 27
 2022 83 44
 2022 84 50
 2022 85 48
 2022 86 97
 2022 87 125
 2022 88 124
 2022 89 73
 2022 90 84
