 year doy hour T1
 2021 20 18 5.6
 2021 20 20 5.2
 2021 20 22 4.5
 2021 21 0 12.0
 2021 21 2 18.8
 2021 21 4 27.2
 2021 21 6 32.6
 2021 21 8 27.7
 2021 21 10 17.4
 2021 21 12 10.8
 2021 21 14 7.8
 2021 21 16 6.2
 2021 21 18 4.7
 2021 21 20 3.8
 2021 21 22 3.6
 2021 22 0 9.3
 2021 22 2 13.9
 2021 22 4 22.4
 2021 22 6 25.4
 2021 22 8 20.7
 2021 22 10 13.5
 2021 22 12 9.8
 2021 22 14 7.2
 2021 22 16 5.5
 2021 22 18 5.1
 2021 22 20 4.9
 2021 22 22 4.7
 2021 23 0 12.2
 2021 23 2 20.3
 2021 23 4 26.8
 2021 23 6 24.1
 2021 23 8 19.0
 2021 23 10 13.2
 2021 23 12 9.1
 2021 23 14 7.1
 2021 23 16 5.5
 2021 23 18 5.5
 2021 23 20 4.5
 2021 23 22 4.2
 2021 24 0 10.9
 2021 24 2 17.2
 2021 24 4 26.1
 2021 24 6 31.6
 2021 24 8 29.2
 2021 24 10 20.5
 2021 24 12 15.4
 2021 24 14 11.9
 2021 24 16 9.3
 2021 24 18 7.0
 2021 24 20 5.7
 2021 24 22 5.0
 2021 25 0 13.2
 2021 25 2 19.6
 2021 25 4 24.3
 2021 25 6 25.7
 2021 25 8 22.8
 2021 25 10 21.5
 2021 25 12 14.5
 2021 25 14 9.7
 2021 25 16 7.4
 2021 25 18 6.7
 2021 25 20 4.6
 2021 25 22 4.3
 2021 26 0 12.5
 2021 26 2 17.6
 2021 26 4 27.2
 2021 26 6 34.5
 2021 26 8 30.4
 2021 26 10 21.7
 2021 26 12 14.3
 2021 26 14 9.4
 2021 26 16 6.8
 2021 26 18 5.9
 2021 26 20 5.1
 2021 26 22 5.1
 2021 27 0 12.7
 2021 27 2 20.8
 2021 27 4 24.0
 2021 27 6 27.5
 2021 27 8 24.4
 2021 27 10 22.5
 2021 27 12 16.1
 2021 27 14 10.7
 2021 27 16 7.5
 2021 27 18 6.7
 2021 27 20 5.2
 2021 27 22 4.7
 2021 28 0 12.2
 2021 28 2 17.2
 2021 28 4 18.7
 2021 28 6 23.4
 2021 28 8 23.1
 2021 28 10 21.8
 2021 28 12 14.1
 2021 28 14 10.6
 2021 28 16 8.3
 2021 28 18 6.6
 2021 28 20 5.6
 2021 28 22 4.8
 2021 29 0 11.8
 2021 29 2 20.3
 2021 29 4 24.1
 2021 29 6 26.7
 2021 29 8 20.6
 2021 29 10 15.8
 2021 29 12 12.3
 2021 29 14 9.0
 2021 29 16 6.8
 2021 29 18 5.8
 2021 29 20 4.8
 2021 29 22 4.4
 2021 30 0 11.0
 2021 30 2 17.8
 2021 30 4 23.3
 2021 30 6 22.2
 2021 30 8 15.6
 2021 30 10 14.0
 2021 30 12 10.8
 2021 30 14 7.1
 2021 30 16 5.9
 2021 30 18 5.9
 2021 30 20 4.8
 2021 30 22 4.7
 2021 31 0 12.5
 2021 31 2 23.5
 2021 31 4 33.4
 2021 31 6 32.9
 2021 31 8 24.7
 2021 31 10 17.0
 2021 31 12 10.5
 2021 31 14 8.7
 2021 31 16 6.6
 2021 31 18 6.3
 2021 31 20 4.4
 2021 31 22 4.1
 2021 32 0 10.1
 2021 32 2 15.4
 2021 32 4 21.0
 2021 32 6 24.2
 2021 32 8 19.7
 2021 32 10 12.1
 2021 32 12 8.0
 2021 32 14 7.3
 2021 32 16 6.4
 2021 32 18 5.6
 2021 32 20 4.8
 2021 32 22 4.3
 2021 33 0 12.7
 2021 33 2 19.9
 2021 33 4 30.0
 2021 33 6 31.3
 2021 33 8 22.4
 2021 33 10 17.0
 2021 33 12 11.4
 2021 33 14 8.7
 2021 33 16 8.0
 2021 33 18 6.4
 2021 33 20 4.4
 2021 33 22 4.1
 2021 34 0 12.8
 2021 34 2 23.8
 2021 34 4 32.0
 2021 34 6 29.1
 2021 34 8 22.2
 2021 34 10 17.8
 2021 34 12 9.7
 2021 34 14 7.0
 2021 34 16 6.4
 2021 34 18 6.0
 2021 34 20 5.3
 2021 34 22 4.7
 2021 35 0 10.1
 2021 35 2 17.5
 2021 35 4 29.1
 2021 35 6 28.8
 2021 35 8 22.4
 2021 35 10 15.6
 2021 35 12 11.4
 2021 35 14 9.7
 2021 35 16 7.0
 2021 35 18 5.4
 2021 35 20 4.2
 2021 35 22 3.5
 2021 36 0 9.2
 2021 36 2 15.3
 2021 36 4 22.4
 2021 36 6 28.5
 2021 36 8 26.0
 2021 36 10 19.7
 2021 36 12 10.0
 2021 36 14 7.7
 2021 36 16 6.4
 2021 36 18 5.7
 2021 36 20 4.7
 2021 36 22 4.5
 2021 37 0 10.5
 2021 37 2 16.6
 2021 37 4 23.8
 2021 37 6 27.4
 2021 37 8 21.6
 2021 37 10 15.8
 2021 37 12 12.1
 2021 37 14 8.8
 2021 37 16 6.4
 2021 37 18 5.9
 2021 37 20 5.5
 2021 37 22 4.6
 2021 38 0 10.6
 2021 38 2 21.4
 2021 38 4 30.9
 2021 38 6 33.1
 2021 38 8 26.1
 2021 38 10 21.3
 2021 38 12 17.3
 2021 38 14 9.7
 2021 38 16 7.0
 2021 38 18 5.7
 2021 38 20 5.1
 2021 38 22 4.4
 2021 39 0 11.8
 2021 39 2 20.2
 2021 39 4 27.3
 2021 39 6 27.1
 2021 39 8 23.0
 2021 39 10 19.2
 2021 39 12 11.5
 2021 39 14 8.4
 2021 39 16 6.6
 2021 39 18 5.8
 2021 39 20 5.0
 2021 39 22 4.7
 2021 40 0 11.3
 2021 40 2 14.6
 2021 40 4 20.9
 2021 40 6 27.9
 2021 40 8 25.0
 2021 40 10 19.9
 2021 40 12 10.7
 2021 40 14 8.3
 2021 40 16 6.7
 2021 40 18 6.0
 2021 40 20 5.1
 2021 40 22 4.4
 2021 41 0 10.3
 2021 41 2 18.0
 2021 41 4 27.1
 2021 41 6 32.0
 2021 41 8 29.8
 2021 41 10 20.4
 2021 41 12 14.8
 2021 41 14 11.2
 2021 41 16 7.8
 2021 41 18 6.3
 2021 41 20 5.1
 2021 41 22 4.4
 2021 42 0 10.6
 2021 42 2 20.1
 2021 42 4 29.4
 2021 42 6 33.7
 2021 42 8 29.0
 2021 42 10 18.6
 2021 42 12 12.0
 2021 42 14 9.1
 2021 42 16 7.6
 2021 42 18 6.2
 2021 42 20 4.7
 2021 42 22 3.5
 2021 43 0 10.1
 2021 43 2 19.4
 2021 43 4 30.9
 2021 43 6 33.0
 2021 43 8 22.6
 2021 43 10 13.0
 2021 43 12 9.8
 2021 43 14 8.0
 2021 43 16 7.0
 2021 43 18 6.3
 2021 43 20 5.1
 2021 43 22 4.9
 2021 44 0 10.9
 2021 44 2 21.8
 2021 44 4 30.1
 2021 44 6 34.8
 2021 44 8 26.0
 2021 44 10 18.1
 2021 44 12 14.4
 2021 44 14 10.6
 2021 44 16 7.8
 2021 44 18 6.5
 2021 44 20 5.3
 2021 44 22 4.6
 2021 45 0 11.8
 2021 45 2 22.3
 2021 45 4 30.7
 2021 45 6 36.3
 2021 45 8 28.1
 2021 45 10 16.7
 2021 45 12 10.1
 2021 45 14 7.8
 2021 45 16 6.8
 2021 45 18 6.3
 2021 45 20 4.8
 2021 45 22 4.1
 2021 46 0 9.3
 2021 46 2 15.3
 2021 46 4 26.8
 2021 46 6 32.9
 2021 46 8 29.3
 2021 46 10 17.2
 2021 46 12 9.4
 2021 46 14 6.9
 2021 46 16 6.4
 2021 46 18 6.0
 2021 46 20 4.7
 2021 46 22 4.4
 2021 47 0 9.9
 2021 47 2 20.7
 2021 47 4 34.6
 2021 47 6 39.3
 2021 47 8 37.5
 2021 47 10 20.1
 2021 47 12 11.2
 2021 47 14 7.8
 2021 47 16 7.1
 2021 47 18 6.7
 2021 47 20 5.4
 2021 47 22 4.8
 2021 48 0 11.5
 2021 48 2 19.0
 2021 48 4 29.9
 2021 48 6 33.6
 2021 48 8 28.9
 2021 48 10 17.0
 2021 48 12 9.4
 2021 48 14 7.4
 2021 48 16 6.7
 2021 48 18 6.2
 2021 48 20 4.8
 2021 48 22 4.5
 2021 49 0 12.1
 2021 49 2 17.9
 2021 49 4 27.6
 2021 49 6 33.1
 2021 49 8 28.3
 2021 49 10 19.6
 2021 49 12 12.2
 2021 49 14 8.9
 2021 49 16 6.9
 2021 49 18 6.3
 2021 49 20 4.8
 2021 49 22 4.2
 2021 50 0 12.3
 2021 50 2 19.9
 2021 50 4 31.2
 2021 50 6 33.1
 2021 50 8 26.5
 2021 50 10 18.4
 2021 50 12 14.3
 2021 50 14 9.7
 2021 50 16 9.3
 2021 50 18 8.2
 2021 50 20 6.0
 2021 50 22 5.9
 2021 51 0 12.5
 2021 51 2 24.0
 2021 51 4 36.9
 2021 51 6 42.4
 2021 51 8 27.8
 2021 51 10 15.3
 2021 51 12 10.0
 2021 51 14 7.9
 2021 51 16 7.6
 2021 51 18 7.5
 2021 51 20 5.3
 2021 51 22 4.9
 2021 52 0 14.0
 2021 52 2 21.0
 2021 52 4 32.7
 2021 52 6 34.6
 2021 52 8 31.3
 2021 52 10 24.6
 2021 52 12 20.8
 2021 52 14 14.5
 2021 52 16 10.5
 2021 52 18 7.3
 2021 52 20 5.0
 2021 52 22 5.0
 2021 53 0 14.3
 2021 53 2 22.9
 2021 53 4 32.2
 2021 53 6 31.4
 2021 53 8 28.1
 2021 53 10 21.9
 2021 53 12 15.3
 2021 53 14 10.8
 2021 53 16 8.5
 2021 53 18 7.0
 2021 53 20 5.0
 2021 53 22 5.0
 2021 54 0 13.9
 2021 54 2 20.4
 2021 54 4 31.2
 2021 54 6 33.0
 2021 54 8 26.3
 2021 54 10 25.4
 2021 54 12 17.0
 2021 54 14 10.0
 2021 54 16 8.4
 2021 54 18 7.5
 2021 54 20 6.1
 2021 54 22 5.2
 2021 55 0 13.7
 2021 55 2 22.6
 2021 55 4 32.0
 2021 55 6 34.9
 2021 55 8 29.8
 2021 55 10 27.4
 2021 55 12 18.5
 2021 55 14 10.2
 2021 55 16 7.9
 2021 55 18 7.1
 2021 55 20 5.8
 2021 55 22 5.3
 2021 56 0 13.0
 2021 56 2 23.8
 2021 56 4 34.2
 2021 56 6 41.7
 2021 56 8 40.8
 2021 56 10 30.5
 2021 56 12 17.1
 2021 56 14 10.7
 2021 56 16 7.8
 2021 56 18 6.6
 2021 56 20 5.9
 2021 56 22 5.0
 2021 57 0 13.4
 2021 57 2 26.0
 2021 57 4 36.4
 2021 57 6 37.5
 2021 57 8 34.9
 2021 57 10 29.6
 2021 57 12 17.7
 2021 57 14 10.2
 2021 57 16 8.0
 2021 57 18 6.3
 2021 57 20 5.1
 2021 57 22 4.4
 2021 58 0 12.0
 2021 58 2 23.1
 2021 58 4 34.5
 2021 58 6 36.4
 2021 58 8 34.5
 2021 58 10 24.7
 2021 58 12 16.6
 2021 58 14 10.5
 2021 58 16 7.6
 2021 58 18 6.8
 2021 58 20 5.1
 2021 58 22 3.7
 2021 59 0 12.1
 2021 59 2 22.5
 2021 59 4 33.2
 2021 59 6 38.7
 2021 59 8 33.7
 2021 59 10 24.9
 2021 59 12 14.6
 2021 59 14 9.7
 2021 59 16 9.1
 2021 59 18 8.1
 2021 59 20 6.1
 2021 59 22 5.4
 2021 60 0 13.3
 2021 60 2 20.5
 2021 60 4 34.4
 2021 60 6 43.6
 2021 60 8 41.8
 2021 60 10 28.0
 2021 60 12 18.7
 2021 60 14 10.7
 2021 60 16 9.5
 2021 60 18 7.6
 2021 60 20 6.1
 2021 60 22 5.7
 2021 61 0 12.8
 2021 61 2 20.6
 2021 61 4 30.7
 2021 61 6 36.4
 2021 61 8 31.6
 2021 61 10 24.1
 2021 61 12 17.1
 2021 61 14 10.2
 2021 61 16 8.9
 2021 61 18 9.0
 2021 61 20 7.0
 2021 61 22 5.1
 2021 62 0 13.3
 2021 62 2 22.1
 2021 62 4 33.0
 2021 62 6 47.6
 2021 62 8 43.5
 2021 62 10 30.3
 2021 62 12 19.7
 2021 62 14 11.4
 2021 62 16 8.8
 2021 62 18 8.8
 2021 62 20 5.6
 2021 62 22 5.0
 2021 63 0 12.2
 2021 63 2 20.1
 2021 63 4 31.7
 2021 63 6 41.8
 2021 63 8 39.4
 2021 63 10 35.9
 2021 63 12 21.1
 2021 63 14 12.0
 2021 63 16 10.3
 2021 63 18 9.5
 2021 63 20 5.9
 2021 63 22 5.1
 2021 64 0 12.9
 2021 64 2 23.9
 2021 64 4 35.3
 2021 64 6 37.9
 2021 64 8 34.8
 2021 64 10 28.2
 2021 64 12 18.5
 2021 64 14 11.6
 2021 64 16 9.4
 2021 64 18 8.0
 2021 64 20 5.5
 2021 64 22 5.4
 2021 65 0 13.1
 2021 65 2 23.5
 2021 65 4 38.0
 2021 65 6 40.0
 2021 65 8 31.4
 2021 65 10 25.5
 2021 65 12 20.1
 2021 65 14 11.7
 2021 65 16 9.4
 2021 65 18 8.2
 2021 65 20 6.7
 2021 65 22 6.3
 2021 66 0 12.9
 2021 66 2 18.8
 2021 66 4 28.4
 2021 66 6 35.7
 2021 66 8 36.1
 2021 66 10 29.6
 2021 66 12 21.1
 2021 66 14 14.4
 2021 66 16 11.6
 2021 66 18 9.6
 2021 66 20 7.9
 2021 66 22 6.6
 2021 67 0 13.2
 2021 67 2 23.2
 2021 67 4 35.0
 2021 67 6 42.2
 2021 67 8 41.0
 2021 67 10 35.2
 2021 67 12 25.7
 2021 67 14 17.9
 2021 67 16 15.4
 2021 67 18 10.6
 2021 67 20 6.3
 2021 67 22 5.8
 2021 68 0 12.2
 2021 68 2 19.1
 2021 68 4 28.7
 2021 68 6 30.9
 2021 68 8 32.5
 2021 68 10 30.7
 2021 68 12 24.8
 2021 68 14 13.9
 2021 68 16 9.4
 2021 68 18 8.3
 2021 68 20 5.1
 2021 68 22 5.3
 2021 69 0 12.7
 2021 69 2 21.7
 2021 69 4 33.0
 2021 69 6 32.1
 2021 69 8 26.6
 2021 69 10 22.1
 2021 69 12 19.0
 2021 69 14 10.6
 2021 69 16 8.1
 2021 69 18 7.6
 2021 69 20 5.2
 2021 69 22 5.0
 2021 70 0 12.6
 2021 70 2 24.4
 2021 70 4 35.4
 2021 70 6 34.3
 2021 70 8 29.6
 2021 70 10 21.9
 2021 70 12 17.3
 2021 70 14 10.6
 2021 70 16 8.7
 2021 70 18 8.3
 2021 70 20 5.7
 2021 70 22 5.3
 2021 71 0 12.8
 2021 71 2 23.6
 2021 71 4 35.7
 2021 71 6 37.9
 2021 71 8 34.3
 2021 71 10 29.2
 2021 71 12 21.2
 2021 71 14 12.6
 2021 71 16 9.9
 2021 71 18 8.5
 2021 71 20 6.0
 2021 71 22 6.7
 2021 72 0 14.8
 2021 72 2 23.7
 2021 72 4 33.3
 2021 72 6 38.2
 2021 72 8 35.0
 2021 72 10 24.9
 2021 72 12 14.5
 2021 72 14 9.1
 2021 72 16 7.8
 2021 72 18 7.2
 2021 72 20 5.9
 2021 72 22 6.8
 2021 73 0 15.2
 2021 73 2 29.3
 2021 73 4 47.5
 2021 73 6 50.0
 2021 73 8 42.6
 2021 73 10 36.5
 2021 73 12 24.0
 2021 73 14 10.7
 2021 73 16 9.2
 2021 73 18 8.5
 2021 73 20 5.4
 2021 73 22 6.0
 2021 74 0 15.8
 2021 74 2 26.5
 2021 74 4 39.6
 2021 74 6 38.4
 2021 74 8 33.0
 2021 74 10 29.0
 2021 74 12 23.2
 2021 74 14 12.9
 2021 74 16 8.6
 2021 74 18 8.0
 2021 74 20 6.1
 2021 74 22 6.1
 2021 75 0 13.4
 2021 75 2 22.4
 2021 75 4 37.2
 2021 75 6 35.7
 2021 75 8 31.8
 2021 75 10 22.1
 2021 75 12 14.8
 2021 75 14 9.1
 2021 75 16 6.9
 2021 75 18 6.9
 2021 75 20 6.1
 2021 75 22 6.1
 2021 76 0 11.7
 2021 76 2 19.2
 2021 76 4 32.2
 2021 76 6 39.7
 2021 76 8 38.2
 2021 76 10 33.3
 2021 76 12 19.8
 2021 76 14 11.9
 2021 76 16 9.2
 2021 76 18 9.1
 2021 76 20 8.0
 2021 76 22 6.8
 2021 77 0 12.0
 2021 77 2 21.6
 2021 77 4 35.9
 2021 77 6 43.1
 2021 77 8 43.0
 2021 77 10 29.4
 2021 77 12 20.6
 2021 77 14 15.6
 2021 77 16 12.5
 2021 77 18 11.2
 2021 77 20 6.2
 2021 77 22 6.1
 2021 78 0 10.7
 2021 78 2 18.8
 2021 78 4 34.1
 2021 78 6 42.0
 2021 78 8 39.4
 2021 78 10 30.7
 2021 78 12 20.2
 2021 78 14 12.3
 2021 78 16 9.5
 2021 78 18 8.5
 2021 78 20 6.7
 2021 78 22 6.6
 2021 79 0 13.8
 2021 79 2 23.9
 2021 79 4 36.9
 2021 79 6 39.5
 2021 79 8 43.9
 2021 79 10 47.9
 2021 79 12 27.0
 2021 79 14 16.6
 2021 79 16 11.0
 2021 79 18 8.5
 2021 79 20 7.1
 2021 79 22 7.0
 2021 80 0 16.5
 2021 80 2 25.0
 2021 80 4 33.9
 2021 80 6 34.8
 2021 80 8 34.1
 2021 80 10 29.0
 2021 80 12 19.4
 2021 80 14 13.5
 2021 80 16 10.9
 2021 80 18 10.7
 2021 80 20 6.7
 2021 80 22 7.3
 2021 81 0 14.9
 2021 81 2 25.1
 2021 81 4 38.8
 2021 81 6 46.6
 2021 81 8 45.5
 2021 81 10 39.2
 2021 81 12 24.1
 2021 81 14 13.0
 2021 81 16 8.8
 2021 81 18 8.7
 2021 81 20 5.6
 2021 81 22 6.5
 2021 82 0 13.5
 2021 82 2 22.7
 2021 82 4 38.6
 2021 82 6 47.3
 2021 82 8 47.2
 2021 82 10 40.5
 2021 82 12 25.2
 2021 82 14 13.8
 2021 82 16 10.1
 2021 82 18 10.5
 2021 82 20 8.1
 2021 82 22 8.2
 2021 83 0 13.5
 2021 83 2 21.2
 2021 83 4 36.4
 2021 83 6 44.6
 2021 83 8 41.6
 2021 83 10 36.7
 2021 83 12 27.0
 2021 83 14 15.4
 2021 83 16 10.9
 2021 83 18 8.7
 2021 83 20 5.4
 2021 83 22 6.7
 2021 84 0 15.3
 2021 84 2 26.6
 2021 84 4 38.2
 2021 84 6 48.7
 2021 84 8 44.1
 2021 84 10 39.3
 2021 84 12 26.6
 2021 84 14 13.7
 2021 84 16 9.4
 2021 84 18 8.9
 2021 84 20 6.6
 2021 84 22 7.9
 2021 85 0 15.1
 2021 85 2 26.3
 2021 85 4 39.6
 2021 85 6 45.5
 2021 85 8 45.9
 2021 85 10 36.3
 2021 85 12 23.2
 2021 85 14 13.2
 2021 85 16 9.4
 2021 85 18 8.6
 2021 85 20 6.7
 2021 85 22 8.1
 2021 86 0 14.3
 2021 86 2 23.8
 2021 86 4 37.6
 2021 86 6 41.9
 2021 86 8 41.0
 2021 86 10 37.5
 2021 86 12 23.0
 2021 86 14 14.0
 2021 86 16 10.2
 2021 86 18 8.8
 2021 86 20 6.0
 2021 86 22 7.7
 2021 87 0 15.7
 2021 87 2 24.0
 2021 87 4 36.7
 2021 87 6 42.0
 2021 87 8 38.6
 2021 87 10 29.8
 2021 87 12 19.4
 2021 87 14 12.7
 2021 87 16 10.0
 2021 87 18 10.1
 2021 87 20 6.5
 2021 87 22 7.8
 2021 88 0 14.4
 2021 88 2 23.8
 2021 88 4 38.8
 2021 88 6 42.0
 2021 88 8 35.0
 2021 88 10 25.0
 2021 88 12 17.0
 2021 88 14 11.9
 2021 88 16 9.8
 2021 88 18 8.6
 2021 88 20 6.6
 2021 88 22 8.9
 2021 89 0 14.4
 2021 89 2 23.6
 2021 89 4 37.4
 2021 89 6 43.6
 2021 89 8 38.2
 2021 89 10 27.6
 2021 89 12 16.7
 2021 89 14 12.5
 2021 89 16 10.4
 2021 89 18 9.3
 2021 89 20 5.8
 2021 89 22 7.6
 2021 90 0 15.3
 2021 90 2 30.4
 2021 90 4 44.5
 2021 90 6 42.4
 2021 90 8 32.0
 2021 90 10 27.2
 2021 90 12 21.2
 2021 90 14 13.8
 2021 90 16 10.3
 2021 90 18 10.4
 2021 90 20 5.7
 2021 90 22 7.0
 2021 91 0 15.4
 2021 91 2 24.6
 2021 91 4 37.5
 2021 91 6 42.3
 2021 91 8 38.7
 2021 91 10 36.3
 2021 91 12 21.8
 2021 91 14 12.0
 2021 91 16 8.9
 2021 91 18 9.2
 2021 91 20 6.1
 2021 91 22 8.0
 2021 92 0 13.5
 2021 92 2 21.8
 2021 92 4 33.5
 2021 92 6 40.4
 2021 92 8 34.9
 2021 92 10 28.4
 2021 92 12 18.5
 2021 92 14 10.3
 2021 92 16 7.2
 2021 92 18 7.1
 2021 92 20 6.3
 2021 92 22 7.3
 2021 93 0 13.3
 2021 93 2 20.1
 2021 93 4 27.5
 2021 93 6 33.3
 2021 93 8 36.6
 2021 93 10 32.4
 2021 93 12 15.6
 2021 93 14 8.8
 2021 93 16 6.7
 2021 93 18 6.4
 2021 93 20 5.8
 2021 93 22 8.1
 2021 94 0 12.5
 2021 94 2 17.7
 2021 94 4 29.1
 2021 94 6 40.8
 2021 94 8 43.1
 2021 94 10 43.1
 2021 94 12 24.1
 2021 94 14 12.2
 2021 94 16 9.8
 2021 94 18 9.3
 2021 94 20 6.6
 2021 94 22 8.2
 2021 95 0 13.2
 2021 95 2 21.3
 2021 95 4 34.6
 2021 95 6 40.3
 2021 95 8 39.2
 2021 95 10 39.1
 2021 95 12 21.8
 2021 95 14 11.4
 2021 95 16 9.3
 2021 95 18 9.1
 2021 95 20 5.7
 2021 95 22 7.5
 2021 96 0 13.0
 2021 96 2 19.3
 2021 96 4 33.4
 2021 96 6 40.0
 2021 96 8 35.7
 2021 96 10 27.5
 2021 96 12 15.9
 2021 96 14 10.1
 2021 96 16 8.3
 2021 96 18 8.7
 2021 96 20 4.6
 2021 96 22 6.6
 2021 97 0 13.8
 2021 97 2 21.9
 2021 97 4 34.8
 2021 97 6 36.7
 2021 97 8 35.1
 2021 97 10 32.1
 2021 97 12 19.9
 2021 97 14 13.3
 2021 97 16 11.3
 2021 97 18 8.9
 2021 97 20 4.7
 2021 97 22 6.3
 2021 98 0 15.4
